clarity,timepoint,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,amp_p0,freq_p0,p0prominence,a1p0,a3p0,vwl_amp_rms,vwl_duration,appendix_dur,Label
clear,3,280,54.09,104,1161,19.61,746,2279,9.64,627,54.09,215,11.69,0,-44.45385,0.081633666,158,0.108,0
clear,3,361,51.97,348,807,44.75,83,2263,5.4,855,51.97,215,12.41,0,-46.57227,0.067120369,132,0.061,0
clear,3,359,54.59,149,694,33.62,1513,2039,8.29,744,54.59,215,6.14,0,-46.29653,0.138544394,143,0.052,0
clear,3,379,50.72,348,822,45.47,52,1782,8.94,1011,50.72,215,12.18,0,-41.77689,0.101574063,144,0.038,0
clear,3,678,48.54,316,902,43.96,365,3146,1.24,759,51.48,215,9.63,-2.94,-50.23845,0.127435809,163,0.032,0
clear,3,684,38.94,519,1265,35.26,130,3708,7.03,203,52.67,215,14.33,-13.73,-45.6374,0.120548108,143,0.039,0
clear,3,416,52.51,358,765,48.95,91,2189,8.67,1620,52.51,215,11.28,0,-43.83853,0.13310378,154,0.035,0
clear,3,252,53.63,100,938,19.35,634,2368,4.75,341,53.63,194,12.39,0,-48.87627,0.10643718,121,0.046,0
clear,3,303,53.92,134,1055,24.45,578,2279,3.53,1378,53.92,215,10.21,0,-50.39391,0.145966051,115,0.042,0
clear,3,654,45.2,96,1618,13.23,807,3787,5.72,198,50.74,215,9.5,-5.54,-45.01879,0.108577756,172,0.015,0
normal,3,740,40.58,241,1069,25.75,1052,3319,5.84,785,45.9,194,3.17,-5.32,-40.06453,0.049774068,192,0.051,1
normal,3,323,45.31,797,849,40.44,122,2492,3.84,1198,45.31,215,5.01,0,-41.47065,0.085690363,168,0.069,1
normal,3,773,38.37,310,1223,35.56,109,3227,6.32,351,45.76,194,5.1,-7.39,-39.43837,0.053416004,140,0.055,1
normal,3,421,47.42,190,965,26.52,860,2997,0.09,937,49.09,194,1.67,-1.67,-48.99905,0.069069929,156,0.048,1
normal,3,359,46.37,148,1143,27.83,232,2931,9.07,1022,46.37,194,0.57,0,-37.29553,0.071087483,100,0.058,1
normal,3,634,38.01,441,1043,26.22,548,3439,9.5,946,45.86,194,2.37,-7.85,-36.36302,0.066905467,167,0.035,1
normal,3,413,48.05,323,1166,31.12,253,2071,8.53,2760,48.05,215,5.27,0,-39.52133,0.051205023,174,0.015,1
normal,3,366,48.59,252,1137,25.57,549,2656,2.13,1321,48.59,194,4.23,0,-46.46369,0.050037777,152,0.046,1
normal,3,459,41.06,736,882,40.96,192,2857,-1.66,2688,48.48,215,7.43,-7.42,-50.14181,0.064944273,164,0.048,1
normal,3,721,42.06,495,1200,40.08,200,2676,3.91,1226,46.31,194,2.91,-4.25,-42.40018,0.046981923,122,0.026,1
normal,3,741,37.75,416,1213,36.58,111,3431,5.1,487,43.38,172,1.8,-5.63,-38.27964,0.06262323,192,0.028,1
normal,3,371,46.46,226,1088,29.77,228,2437,4.48,807,46.46,194,2.16,0,-41.97844,0.058235904,141,0.054,1
normal,3,263,48.93,611,843,36.86,232,2249,1.67,942,48.93,215,8.66,0,-47.26304,0.079984664,149,0.036,1
normal,3,755,33.18,606,1261,30.77,217,3274,10.17,217,44.15,194,7.91,-10.97,-33.97918,0.066104538,126,0.054,1
normal,3,437,43.13,206,1013,30.36,306,2837,3.32,812,45.01,194,1.87,-1.88,-41.69222,0.050965621,143,0.043,1
normal,3,557,42.06,603,957,33.28,604,3353,14.2,440,44.11,194,0.4,-2.05,-29.90985,0.062304951,160,0.036,1
normal,3,337,47.49,242,1079,25.83,334,2678,8.8,596,47.49,237,9.57,0,-38.68528,0.058335374,160,0.046,1
normal,3,414,45.77,292,1040,30.8,415,2858,7.89,1045,46.51,194,2.24,-0.74,-38.61976,0.040472932,154,0.062,1
normal,3,752,37.41,514,1417,31.92,304,3234,20.6,111,44.58,194,4.1,-7.17,-23.97796,0.061015152,192,0,1
normal,3,675,36.28,334,1149,31.55,130,3320,3.02,514,44.78,194,4.74,-8.5,-41.76436,0.053098303,156,0.041,1
normal,3,414,43.54,278,903,28.57,240,2263,3.57,1244,44.67,172,1.13,-1.13,-41.10482,0.049180095,209,0.02,1
normal,3,520,41.08,497,793,35.54,3457,1874,8.31,489,43.66,172,2.58,-2.58,-35.34534,0.045089203,179,0.061,1
normal,3,380,44.68,134,1075,27.28,298,2714,3.16,861,44.68,194,0.4,0,-41.5207,0.088164746,179,0.069,1
normal,3,368,46.35,334,1012,32.38,229,2273,-0.14,2209,46.35,215,6.82,0,-46.4944,0.054878126,196,0.05,1
normal,3,703,30.35,366,1170,23.76,400,3331,8.74,181,44.42,194,6.42,-14.07,-35.67865,0.055405537,208,0.022,1
normal,3,668,38.06,375,1238,37.17,83,3329,8.29,482,45.68,215,2.57,-7.62,-37.38858,0.05341756,176,0.054,1
normal,3,285,51.56,301,1003,32.98,302,2764,7.72,845,51.56,237,12.69,0,-43.83828,0.066425803,170,0.05,1
normal,3,465,41.88,592,895,42.26,146,2787,4.42,1033,47.96,215,6.08,-6.08,-43.54233,0.052281246,191,0.094,1
normal,3,348,47.01,130,1128,24.8,344,2930,4.82,964,47.01,194,2.2,0,-42.19028,0.072653207,190,0.033,1
normal,3,392,46.5,604,826,44.84,67,2663,3.43,826,46.5,215,3.79,0,-43.07143,0.059719974,197,0.03,1
normal,3,320,47.64,324,845,35.67,153,2435,-1.56,1548,47.64,215,6.45,0,-49.20112,0.06405518,158,0.047,1
normal,3,743,40.64,498,1257,35.3,230,3421,11.65,313,46.65,194,4.43,-6.01,-35.00106,0.077106942,189,0.01,1
normal,3,460,41.19,941,848,41.37,118,3037,2.98,1479,43.67,172,2.48,-2.48,-40.69393,0.060405899,191,0.064,1
normal,3,432,42.77,466,1050,30.82,652,3097,7.8,1116,45.6,194,2.83,-2.83,-37.79826,0.061378507,145,0.059,1
normal,3,331,47.13,263,1044,28.42,303,2760,2.16,795,47.13,215,6.59,0,-44.96988,0.083076197,167,0.032,1
normal,3,374,43.77,406,941,33.51,201,2820,0.38,1329,45.2,172,1.43,-1.43,-44.81643,0.068940355,167,0.036,1
clear,3,335,46.34,387,787,37.27,193,2620,0.39,933,46.34,172,4.71,0,-45.95299,0.056032909,157,0.023,0
clear,3,696,43.6,294,1034,32.86,450,3448,14.81,131,44.77,172,2.9,-1.17,-29.95836,0.07887194,99,0.014,0
clear,3,779,38.79,278,1220,35.63,141,3147,7.94,326,44.22,172,4.4,-5.43,-36.27947,0.05219699,154,0.035,0
clear,3,384,43.87,148,1095,26.6,263,2799,3.86,846,43.87,345,3.98,0,-40.00735,0.052302049,145,0.044,0
clear,3,338,47.37,124,1044,27.61,245,2680,8.43,428,47.37,172,1.6,0,-38.93759,0.068214297,144,0.083,0
clear,3,712,45.23,482,801,45.23,385,2650,7.83,857,45.07,194,1.29,0.16,-37.23761,0.07519615,155,0.015,0
clear,3,524,41.55,561,1129,38.57,142,2711,6.93,854,45.33,194,3.78,-3.78,-38.39714,0.060614274,157,0.014,0
clear,3,343,50.44,255,1100,32.28,196,2650,11.16,708,50.44,215,7.6,0,-39.27844,0.058716827,101,0.015,0
clear,3,397,44.69,643,818,42.2,167,2292,3.35,986,46.9,194,2.21,-2.21,-43.5462,0.056060332,142,0.034,0
clear,3,528,44.72,396,1175,35.12,177,2881,7.55,837,45.37,172,0.65,-0.65,-37.82187,0.036825668,135,0.062,0
clear,3,683,37.82,502,1294,29.71,240,3277,20.87,135,46.09,172,1.81,-8.27,-25.22492,0.073446358,213,0.026,0
clear,3,359,46.24,133,1143,23.33,392,2784,7.31,654,46.12,194,9.02,0.12,-38.80772,0.057870736,131,0.031,0
clear,3,364,48.53,492,809,42.51,128,2655,5.04,1183,48.53,194,3.51,0,-43.49027,0.087558449,147,0.032,0
clear,3,797,38.13,302,1356,35.09,111,3224,13.32,406,43.23,172,0.5,-5.1,-29.90883,0.072241361,117,0.046,0
clear,3,400,48,128,1125,23.56,781,2785,7.37,977,47.22,194,4.82,0.78,-39.84516,0.05726492,107,0.016,0
clear,3,514,45,688,881,45.23,101,3399,20.84,214,45.08,172,0.08,-0.08,-24.23537,0.080522016,114,0.032,0
clear,3,425,47.12,145,1098,26.77,673,3025,10.76,892,47.54,194,0.42,-0.42,-36.78448,0.061050023,122,0.015,0
clear,3,392,45.09,171,1145,25.8,433,2865,7.03,933,45.09,345,4.62,0,-38.05711,0.062520872,78,0.014,0
clear,3,752,42.2,321,1402,38.73,145,3202,23.02,130,45.18,345,5.35,-2.98,-22.15798,0.091470849,178,0.03,0
clear,3,740,40.32,531,1255,33.49,418,3310,20.15,447,45.55,345,5.07,-5.23,-25.40374,0.055232228,121,0.012,0
clear,3,406,46.43,379,918,36.44,254,2600,4.35,1121,46.43,345,7.36,0,-42.08468,0.088231816,253,0.038,0
clear,3,760,39.84,887,1281,36.75,219,3043,8.59,146,43.02,323,4.24,-3.18,-34.42903,0.055166044,105,0.027,0
clear,3,393,47.33,172,1195,21.94,512,3198,8.18,1055,47.26,194,6.89,0.07,-39.07608,0.105789193,139,0.024,0
clear,3,682,43.37,374,1242,38.19,241,3408,18.86,274,45.68,172,0.29,-2.31,-26.81864,0.061316275,99,0.018,0
clear,3,753,41.33,295,1339,38.57,96,3123,20.3,109,43.26,172,0.62,-1.93,-22.9639,0.064716354,140,0.022,0
clear,3,725,39.12,414,1326,33.39,143,3303,12.65,571,43.51,172,0.31,-4.39,-30.86465,0.052234335,129,0.026,0
clear,3,401,48.98,143,1032,31.69,374,2953,8.06,480,46.44,194,7.13,2.54,-38.38165,0.06285289,120,0.019,0
clear,3,445,45.77,450,905,40.28,160,2830,3.36,1209,45.03,172,5.92,0.74,-41.67102,0.047125327,103,0.024,0
clear,3,352,45.94,123,1168,22.11,425,2839,8.66,266,45.94,345,9.01,0,-37.27743,0.082473206,158,0.011,0
clear,3,400,44.66,467,881,41.35,101,2818,7.22,615,45.37,172,0.71,-0.71,-38.14819,0.122637317,171,0.018,0
clear,3,469,45.38,281,929,40.29,138,2586,5.52,1284,45.03,194,3.91,0.35,-39.50683,0.067169281,125,0.018,0
clear,3,619,35.36,689,1231,33.8,1307,1342,33.8,2884,43.95,172,3.69,-8.59,-10.15269,0.078317029,185,0.019,0
clear,3,527,47.82,458,900,41.77,274,3365,20.58,423,46.21,194,3.9,1.61,-25.6277,0.102593922,127,0.017,0
clear,3,394,45.61,212,1019,27.52,611,2903,8.51,1065,47.79,194,2.18,-2.18,-39.27994,0.060031902,99,0.035,0
clear,3,403,41.26,179,917,21.43,712,2841,-1.49,1585,44.42,172,3.16,-3.16,-45.90926,0.07972302,139,0.013,0
clear,3,379,46.56,371,904,34.6,270,2633,6.94,603,46.62,172,0.06,-0.06,-39.68367,0.073856075,125,0.057,0
normal,3,849,40.64,116,2174,9.56,638,3537,4.91,181,49.38,215,14.5,-8.74,-44.46623,0.058499247,141,0.035,1
normal,3,899,38.82,212,1874,13.2,848,3542,11.07,95,46.88,194,11.35,-8.06,-35.8096,0.080138676,129,0.051,1
normal,3,388,42.99,486,1148,33.1,154,2100,11.41,543,46.04,194,13.65,-3.05,-34.6321,0.047423117,145,0.066,1
normal,3,304,48.6,563,903,26.35,928,2169,8.39,586,48.6,215,13.14,0,-40.21103,0.04505088,101,0.034,1
normal,3,568,37.8,541,1885,9.89,1057,2508,7.17,1409,49.51,194,11.71,-11.71,-42.33518,0.059158677,130,0.022,1
normal,3,792,44.35,150,1300,31.11,630,3210,16.63,573,46.57,194,8.64,-2.22,-29.93635,0.049792695,110,0.043,1
normal,3,668,38.11,619,1400,36.98,178,2842,4.51,2131,46.89,194,9.99,-8.78,-42.37843,0.051983534,133,0.047,1
normal,3,289,50.14,325,972,25.26,944,2169,10.21,543,50.14,194,13.29,0,-39.92654,0.042385121,68,0.047,1
normal,3,283,43.93,662,862,30.3,308,2055,6.6,436,43.93,194,16.46,0,-37.33413,0.042932452,126,0.052,1
normal,3,407,46.21,294,1150,31.18,187,1787,10.82,576,46.21,237,11.98,0,-35.39084,0.034645142,144,0.051,1
normal,3,690,38.7,752,1341,35.39,1816,1391,35.39,376,47.66,194,8.72,-8.96,-12.26619,0.075326391,130,0.068,1
normal,3,596,36.3,664,1731,11.51,869,2718,3.27,2133,47.45,194,11.15,-11.15,-44.17714,0.053171803,107,0.044,1
normal,3,439,32.03,560,918,32.86,165,2095,9.49,369,42.78,172,11.87,-10.75,-33.28612,0.063613222,107,0.033,1
normal,3,468,38.99,448,1235,37.16,224,1749,28.54,577,46.41,215,9.65,-7.42,-17.87046,0.053053128,100,0.041,1
normal,3,285,49.6,244,1295,17.22,1027,2085,9.99,885,49.6,215,13.07,0,-39.60866,0.055990008,112,0.075,1
normal,3,774,35.95,594,991,35.68,978,1715,9.59,2930,43.29,194,9.9,-7.34,-33.70313,0.03600258,79,0.042,1
normal,3,361,42.79,441,1131,21.61,458,2153,9.93,539,44.39,172,10.3,-1.6,-34.4641,0.044382876,83,0.039,1
normal,3,338,44.66,568,831,26.57,680,2063,5.78,450,44.66,172,13.82,0,-38.87846,0.030533946,62,0.041,1
normal,3,734,38.15,399,1642,28.23,160,3233,14.47,367,47.02,194,10.66,-8.87,-32.55452,0.066440939,159,0.062,1
normal,3,787,30.13,895,1263,29.74,170,3528,-7.23,570,44.19,172,12.64,-14.06,-51.42306,0.038137744,59,0.047,1
normal,3,464,35.69,761,873,34.45,251,2087,5.88,791,43.25,172,12.82,-7.56,-37.36637,0.042869245,149,0.034,1
normal,3,459,34.08,390,1122,31.29,177,2103,10.41,385,42.76,172,13.55,-8.68,-32.35461,0.040026218,79,0.046,1
