vowelSAMPA,F1_Hz,F2_Hz,F3_Hz,target
ɛ̃,507,1404,3397,1
ɛ̃,661,1351,3388,1
ɛ̃,716,1288,3241,1
ɛ̃,762,1276,3569,1
ɛ̃,758,961,2320,1
ɛ̃,610,1453,3228,1
ɛ̃,682,1495,3543,1
ɛ̃,846,1673,3519,1
ɛ̃,857,1491,3705,1
ɛ̃,285,969,2031,1
ɔ̃,325,995,2381,1
ɔ̃,316,1172,2143,1
ɔ̃,280,1161,2279,1
ɔ̃,279,1416,2056,1
ɔ̃,282,1040,2276,1
ɑ̃,534,849,3366,1
ɑ̃,423,801,2303,1
ɑ̃,361,807,2263,1
ɑ̃,318,751,2089,1
ɑ̃,310,762,2174,1
ɔ̃,332,689,2285,1
ɔ̃,361,904,1865,1
ɔ̃,359,694,2039,1
ɔ̃,303,1041,2020,1
ɔ̃,292,1068,2188,1
ɑ̃,422,989,3257,1
ɑ̃,535,819,1505,1
ɑ̃,379,822,1782,1
ɑ̃,278,784,2289,1
ɑ̃,251,938,2365,1
ɑ̃,601,1435,3296,1
ɑ̃,636,1034,3497,1
ɑ̃,678,902,3146,1
ɑ̃,697,2046,3603,1
ɑ̃,281,806,2056,1
ɛ̃,705,1240,3561,1
ɛ̃,750,1195,3608,1
ɛ̃,684,1265,3708,1
ɛ̃,298,948,1981,1
ɛ̃,260,1089,2340,1
ɑ̃,435,1082,2870,1
ɑ̃,617,931,3512,1
ɑ̃,416,765,2189,1
ɑ̃,506,1385,2862,1
ɑ̃,241,807,2219,1
ɔ̃,280,945,2128,1
ɔ̃,264,968,2310,1
ɔ̃,252,938,2368,1
ɔ̃,246,927,2306,1
ɔ̃,244,1311,2328,1
ɔ̃,369,965,2183,1
ɔ̃,355,745,2289,1
ɔ̃,303,1055,2279,1
ɔ̃,281,1137,2560,1
ɔ̃,275,1017,2257,1
ɑ̃,483,999,2916,1
ɑ̃,464,779,1801,1
ɑ̃,654,1618,3787,1
ɑ̃,246,713,2081,1
ɑ̃,277,782,1832,1
ɑ̃,528,1118,2984,1
ɑ̃,548,1000,2397,1
ɑ̃,740,1069,3319,1
