vowel,freq_f1,amp_f1,freq_f2,amp_f2,freq_f3,amp_f3,freq_h1,amp_h1,freq_h2,amp_h2,amp_h3,amp_p0,freq_p0,
ɛ̃,840,41.13,1311,28.23,3471,12.35,215,53.61,431,40.24,41.08,53.61,215,1
ɛ̃,253,51.99,911,36.33,2138,8.76,215,51.99,431,33.82,34.9,51.99,215,1
ɛ̃,222,50.19,983,29.11,2058,5.55,215,50.19,409,27.18,25.31,50.19,215,1
ɛ̃,714,43.28,1337,35.17,3366,12.68,215,52.61,452,44.64,43.28,52.61,215,1
ɛ̃,752,42.61,1282,33.73,3480,12.93,215,52.9,452,41.7,42.61,52.9,215,1
ɛ̃,689,39.33,1878,0.11,3780,6.55,215,52.95,431,39.74,38.43,52.95,215,1
ɛ̃,767,38.77,1193,25.24,3471,15.99,215,52.23,431,38.28,36.9,52.23,215,1
ɛ̃,800,39.13,1510,31.06,3477,13.8,215,51.05,431,37.72,36.86,51.05,215,1
ɔ̃,288,52.58,909,28.51,2230,0.98,215,52.58,452,39.95,31.7,52.58,215,1
ɔ̃,273,53.49,1089,22.97,2266,4.18,215,53.49,431,40.7,26.17,53.49,215,1
ɔ̃,251,53.68,1150,17.03,2283,10.25,215,53.68,431,39.51,22.08,53.68,215,1
ɔ̃,230,52.37,1520,14.63,2145,6.71,215,52.37,431,34.22,14.63,52.37,215,1
ɔ̃,220,50.3,1447,8.64,2299,2.19,215,50.3,431,27.45,7.23,50.3,215,1
ɑ̃,445,53.79,959,38.81,3575,9.73,237,53.79,474,47.24,41.93,53.79,237,1
ɑ̃,458,53.9,932,42.31,3446,11.09,237,53.9,452,45.77,44.35,53.9,237,1
ɑ̃,273,53.9,808,40.97,2222,9.65,215,53.9,452,40.61,40.97,53.9,215,1
ɑ̃,289,53.83,870,39.33,2300,9.71,215,53.83,452,41.82,39.33,53.83,215,1
ɑ̃,281,53.37,1041,26.55,2290,8.58,215,53.37,431,40.05,31.79,53.37,215,1
ɔ̃,314,53.17,1144,28.34,2898,-2.23,215,53.17,431,44.62,29.7,53.17,215,1
ɔ̃,304,54.05,1126,29.92,2344,3.92,215,54.05,431,44.76,28.76,54.05,215,1
ɔ̃,292,53.38,1085,28.32,2321,2.72,215,53.38,431,43.42,26.37,53.38,215,1
ɔ̃,291,50.31,1339,14.95,3403,8.73,215,50.31,431,37.8,17.76,50.31,215,1
ɔ̃,301,43.22,1119,15.48,2560,4.27,215,43.22,388,26.81,16.26,43.22,215,1
ɑ̃,366,52,831,42.55,2551,2.84,215,52,431,44.45,42.55,52,215,1
ɑ̃,350,50.95,825,42.19,2582,4.02,215,50.95,431,40.66,42.19,50.95,215,1
ɑ̃,322,48.64,821,39.57,2437,4.54,215,48.64,431,36.26,39.57,48.64,215,1
ɑ̃,256,45.81,868,29.92,2252,-3.27,86,18.92,215,45.81,25.44,45.81,215,1
ɑ̃,271,42,857,23.47,2195,-12.91,108,24.48,215,42,34.5,42,215,1
ɑ̃,481,52.15,1340,30.96,3270,15.87,237,51.67,452,52.15,40.84,51.67,237,1
ɑ̃,730,45.24,1142,36.66,3379,14.74,215,51.51,431,42.87,45.24,51.51,215,1
