clarity,timepoint,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,amp_p0,freq_p0,p0prominence,a1p0,a3p0,vwl_amp_rms,vwl_duration,appendix,appendix_dur,nasal_app,creak_app,target
normal,3,819,45.33,136,1134,32.26,1064,3550,16.01,120,51,215,11.19,-5.67,-34.9886,0.073859822,0.128,c,0.024,0,1,1
normal,4,411,48.8,704,1099,28.75,393,2364,3.62,825,48.8,215,13.66,0,-45.18029,0.073859822,0.128,c,0.024,0,1,1
normal,5,797,38.49,104,1695,7.01,890,3583,15.04,103,44.18,194,13.31,-5.69,-29.13502,0.073859822,0.128,c,0.024,0,1,1
normal,1,344,53.1,238,1267,29.38,505,2220,6,2188,53.1,237,8,0,-47.09542,0.0968005682,0.155,c,0.06,0,1,1
normal,2,331,53.59,189,1279,29.63,513,1960,13.89,1088,53.59,215,7.75,0,-39.70332,0.0968005682,0.155,c,0.06,0,1,1
normal,3,316,53.79,146,1179,26.32,504,2098,7.96,796,53.79,237,9.6,0,-45.83075,0.0968005682,0.155,c,0.06,0,1,1
normal,4,300,50.23,182,1256,21.84,497,2518,0.44,1580,50.23,237,11.09,0,-49.78787,0.0968005682,0.155,c,0.06,0,1,1
normal,5,301,44.41,195,1441,13,725,2317,3.12,783,44.41,215,10.55,0,-41.28904,0.0968005682,0.155,c,0.06,0,1,1
normal,1,334,56.1,277,1223,28.95,780,1655,19.27,2099,56.1,215,11.07,0,-36.83076,0.0833528332,0.16,c,0.035,0,1,1
normal,2,291,55.94,208,1410,23.22,646,1898,14.15,1891,55.94,215,11.57,0,-41.7861,0.0833528332,0.16,c,0.035,0,1,1
normal,3,273,54.81,135,1161,24.23,594,2110,9.54,1273,54.81,215,12.3,0,-45.2657,0.0833528332,0.16,c,0.035,0,1,1
normal,4,271,51.18,84,1206,14.46,808,2164,3.65,562,51.18,237,15.21,0,-47.53104,0.0833528332,0.16,c,0.035,0,1,1
normal,5,264,48.35,24,1481,11.93,305,2602,-2.66,1388,48.35,258,21.46,0,-51.00591,0.0833528332,0.16,c,0.035,0,1,1
normal,1,265,50.73,68,2703,14.8,236,3507,14.57,366,50.73,215,12.41,0,-36.15509,0.1198737475,0.18,c,0.026,0,1,1
normal,2,425,54,44,2319,24.46,208,3155,23.45,180,53.35,215,13.19,0.65,-29.89794,0.1198737475,0.18,c,0.026,0,1,1
normal,3,679,43.92,164,1676,28,214,3206,20.6,185,51.25,215,5.77,-7.33,-30.65356,0.1198737475,0.18,c,0.026,0,1,1
normal,4,833,38.99,248,1411,29.81,445,3424,16.62,177,49.65,215,13.41,-10.66,-33.03318,0.1198737475,0.18,c,0.026,0,1,1
normal,5,931,28.27,503,1412,25,446,3499,15.63,121,44.93,194,9.14,-16.66,-29.29905,0.1198737475,0.18,c,0.026,0,1,1
normal,1,694,43.82,214,1302,36.34,104,3331,12.38,141,52.31,215,6.41,-8.49,-39.92938,0.0845267843,0.13,c,0.029,0,1,1
normal,2,794,41.97,283,1301,36.85,176,3440,16.59,107,53.24,215,13.1,-11.27,-36.6533,0.0845267843,0.13,c,0.029,0,1,1
normal,3,226,52.51,398,1091,32.28,189,2224,7.39,1150,52.51,215,19.48,0,-45.1234,0.0845267843,0.13,c,0.029,0,1,1
normal,4,214,50.09,468,1178,29.05,198,2106,4.86,1907,50.09,194,17.29,0,-45.22512,0.0845267843,0.13,c,0.029,0,1,1
normal,5,900,26,567,1381,17.59,403,3742,8.16,380,45.68,194,18.33,-19.68,-37.52437,0.0845267843,0.13,c,0.029,0,1,1
normal,1,439,50.57,104,1345,27.27,150,3272,15.06,97,51.12,215,0.55,-0.55,-36.05964,0.0900300879,0.126,n,0.014,1,0,1
normal,2,695,43.9,223,1203,35.17,259,3527,6.34,322,52.28,215,10.42,-8.38,-45.93927,0.0900300879,0.126,n,0.014,1,0,1
normal,3,468,42.17,526,1091,29.09,561,2615,-3.69,509,51.49,215,13.15,-9.32,-55.17912,0.0900300879,0.126,n,0.014,1,0,1
normal,4,550,39.48,494,815,38.11,904,2585,1.74,1761,51.43,194,14.65,-11.95,-49.69057,0.0900300879,0.126,n,0.014,1,0,1
normal,5,527,31.65,814,1329,15.75,762,2403,0.13,2145,50.7,194,20.64,-19.05,-50.56873,0.0900300879,0.126,n,0.014,1,0,1
normal,1,638,48.29,181,1491,34.3,114,3299,14.24,311,53.3,237,5.01,-5.01,-39.06425,0.0881957268,0.128,c,0.032,0,1,1
normal,2,780,44.44,340,1394,36.56,328,3607,7.94,454,53.21,237,9.72,-8.77,-45.27221,0.0881957268,0.128,c,0.032,0,1,1
normal,3,713,39.83,328,1213,33.3,215,3708,8.39,827,52.22,237,13.47,-12.39,-43.83145,0.0881957268,0.128,c,0.032,0,1,1
normal,4,830,37.59,831,1212,32.95,453,3969,9.46,333,49.96,237,14.12,-12.37,-40.49704,0.0881957268,0.128,c,0.032,0,1,1
normal,5,993,34.85,487,1655,24.22,517,3587,20.52,110,45.38,215,15.08,-10.53,-24.86215,0.0881957268,0.128,c,0.032,0,1,1
normal,1,360,50.89,191,1061,29.11,498,1949,11.68,506,50.89,215,6.45,0,-39.2065,0.0943962969,0.13,n,0.037,1,0,1
normal,2,506,41.26,489,1335,15.64,1015,2907,-0.33,995,51.69,215,10.42,-10.43,-52.01564,0.0943962969,0.13,n,0.037,1,0,1
normal,3,269,50.76,281,1170,24.04,546,2386,4.78,883,50.76,215,13.55,0,-45.98108,0.0943962969,0.13,n,0.037,1,0,1
normal,4,255,49.01,326,1276,20.81,814,2266,9.01,1064,49.01,215,15.31,0,-39.99521,0.0943962969,0.13,n,0.037,1,0,1
normal,5,254,45.87,255,1255,17.01,577,2237,5.63,695,45.87,215,17.27,0,-40.243,0.0943962969,0.13,n,0.037,1,0,1
normal,1,504,44.82,228,1454,25.81,119,3294,10.5,100,50.82,215,6,-6,-40.31936,0.0751930813,0.151,n,0.017,1,0,1
normal,2,744,35.83,639,1309,27.46,443,3575,7.04,167,51.59,215,16.55,-15.76,-44.54863,0.0751930813,0.151,n,0.017,1,0,1
normal,3,248,51.02,349,1191,27.4,183,2610,-3.13,1673,51.02,215,20.08,0,-54.14579,0.0751930813,0.151,n,0.017,1,0,1
normal,4,241,50.42,235,997,29.32,226,2075,0.91,818,50.42,215,20.71,0,-49.51134,0.0751930813,0.151,n,0.017,1,0,1
normal,5,234,47.59,121,1099,21.25,262,2351,-0.5,320,47.59,215,26.44,0,-48.09205,0.0751930813,0.151,n,0.017,1,0,1
normal,1,369,52.56,118,1290,24.08,413,3273,19.93,164,52.56,215,4.71,0,-32.62875,0.0956111551,0.137,n,0.044,1,0,1
normal,2,641,45.05,383,1281,34.76,193,3333,18.28,58,54.59,215,9.55,-9.54,-36.31323,0.0956111551,0.137,n,0.044,1,0,1
normal,3,840,41.13,338,1311,28.23,642,3471,12.35,268,53.61,215,13.37,-12.48,-41.26294,0.0956111551,0.137,n,0.044,1,0,1
normal,4,253,51.99,316,911,36.33,128,2138,8.76,485,51.99,215,18.17,0,-43.23127,0.0956111551,0.137,n,0.044,1,0,1
normal,5,222,50.19,272,983,29.11,371,2058,5.55,484,50.19,215,23.01,0,-44.63992,0.0956111551,0.137,n,0.044,1,0,1
normal,1,714,43.28,176,1337,35.17,95,3366,12.68,213,52.61,215,7.97,-9.33,-39.9315,0.098678854,0.121,none,0,0,0,1
normal,2,752,42.61,168,1282,33.73,127,3480,12.93,181,52.9,215,11.2,-10.29,-39.97391,0.098678854,0.121,none,0,0,0,1
normal,3,689,39.33,1393,1878,0.11,257,3780,6.55,267,52.95,215,13.21,-13.62,-46.40359,0.098678854,0.121,none,0,0,0,1
normal,4,767,38.77,320,1193,25.24,525,3471,15.99,226,52.23,215,13.96,-13.46,-36.24295,0.098678854,0.121,none,0,0,0,1
normal,5,800,39.13,206,1510,31.06,154,3477,13.8,272,51.05,215,13.32,-11.92,-37.25367,0.098678854,0.121,none,0,0,0,1
normal,1,288,52.58,168,909,28.51,594,2230,0.98,862,52.58,215,12.64,0,-51.59955,0.074456929,0.105,n,0.022,1,0,1
normal,2,273,53.49,125,1089,22.97,648,2266,4.18,1106,53.49,215,12.79,0,-49.3121,0.074456929,0.105,n,0.022,1,0,1
normal,3,251,53.68,71,1150,17.03,640,2283,10.25,413,53.68,215,14.17,0,-43.42568,0.074456929,0.105,n,0.022,1,0,1
normal,4,230,52.37,34,1520,14.63,532,2145,6.71,753,52.37,215,18.15,0,-45.6639,0.074456929,0.105,n,0.022,1,0,1
normal,5,220,50.3,18,1447,8.64,394,2299,2.19,618,50.3,215,22.85,0,-48.10873,0.074456929,0.105,n,0.022,1,0,1
normal,1,445,53.79,280,959,38.81,193,3575,9.73,490,53.79,237,6.55,0,-44.05744,0.0867691323,0.104,n,0.021,1,0,1
normal,2,458,53.9,579,932,42.31,225,3446,11.09,376,53.9,237,8.13,0,-42.80932,0.0867691323,0.104,n,0.021,1,0,1
normal,3,273,53.9,484,808,40.97,324,2222,9.65,778,53.9,215,13.29,0,-44.24776,0.0867691323,0.104,n,0.021,1,0,1
normal,4,289,53.83,284,870,39.33,190,2300,9.71,591,53.83,215,12.01,0,-44.12425,0.0867691323,0.104,n,0.021,1,0,1
normal,5,281,53.37,190,1041,26.55,619,2290,8.58,1148,53.37,215,13.32,0,-44.79235,0.0867691323,0.104,n,0.021,1,0,1
normal,1,314,53.17,143,1144,28.34,260,2898,-2.23,1274,53.17,215,8.55,0,-55.39823,0.1414848095,0.132,n,0.022,1,0,1
normal,2,304,54.05,143,1126,29.92,264,2344,3.92,2783,54.05,215,9.29,0,-50.13445,0.1414848095,0.132,n,0.022,1,0,1
normal,3,292,53.38,157,1085,28.32,376,2321,2.72,1607,53.38,215,9.97,0,-50.65721,0.1414848095,0.132,n,0.022,1,0,1
normal,4,291,50.31,353,1339,14.95,694,3403,8.73,429,50.31,215,12.51,0,-41.58259,0.1414848095,0.132,n,0.022,1,0,1
normal,5,301,43.22,151,1119,15.48,190,2560,4.27,573,43.22,215,16.41,0,-38.94504,0.1414848095,0.132,n,0.022,1,0,1
normal,1,366,52,296,831,42.55,141,2551,2.84,1340,52,215,7.54,0,-49.16494,0.0787966901,0.138,n,0.014,1,0,1
normal,2,350,50.95,325,825,42.19,90,2582,4.02,843,50.95,215,10.29,0,-46.92847,0.0787966901,0.138,n,0.014,1,0,1
normal,3,322,48.64,331,821,39.57,88,2437,4.54,514,48.64,215,12.38,0,-44.09943,0.0787966901,0.138,n,0.014,1,0,1
normal,4,256,45.81,282,868,29.92,124,2252,-3.27,499,45.81,215,23.63,0,-49.08496,0.0787966901,0.138,n,0.014,1,0,1
normal,5,271,42,174,857,23.47,158,2195,-12.91,956,42,215,12.51,0,-54.90716,0.0787966901,0.138,n,0.014,1,0,1
normal,1,481,52.15,104,1340,30.96,130,3270,15.87,133,51.67,237,5.9,0.48,-35.80303,0.1114354494,0.139,n,0.022,1,0,1
normal,2,730,45.24,213,1142,36.66,249,3379,14.74,305,51.51,215,8.64,-6.27,-36.77136,0.1114354494,0.139,n,0.022,1,0,1
normal,3,315,50.57,589,1072,40.51,327,2240,-2.44,725,50.57,215,16,0,-53.01146,0.1114354494,0.139,n,0.022,1,0,1
normal,4,361,48.66,479,1142,23.47,271,2517,-3.37,350,48.66,215,18.78,0,-52.03407,0.1114354494,0.139,n,0.022,1,0,1
normal,5,678,36.39,191,1392,12.35,678,3348,5.15,340,44.83,215,21.04,-8.44,-39.68115,0.1114354494,0.139,n,0.022,1,0,1
normal,1,712,36.75,326,1269,29.05,230,3544,4.35,438,51.28,215,14.21,-14.53,-46.93042,0.0799186766,0.124,none,0,0,0,1
normal,2,886,40.82,266,1587,19.02,1151,3589,8.21,343,52.14,215,12.96,-11.32,-43.92799,0.0799186766,0.124,none,0,0,0,1
normal,3,184,51.54,924,934,40.67,224,1921,13.14,960,51.54,215,14.62,0,-38.40298,0.0799186766,0.124,none,0,0,0,1
normal,4,874,36.33,352,1410,29.29,422,3689,14.09,471,48.36,215,16.4,-12.03,-34.266,0.0799186766,0.124,none,0,0,0,1
normal,5,773,30.08,636,1408,26.54,253,3644,6.91,1202,45.29,215,17.58,-15.21,-38.37522,0.0799186766,0.124,none,0,0,0,1
normal,1,406,50.89,59,1160,27.78,241,2981,3.07,601,50.62,215,9.62,0.27,-47.54586,0.1112170561,0.122,none,0,0,0,1
normal,2,425,51.92,125,1022,36.52,130,3109,9.65,330,51.92,215,0.39,0,-42.27093,0.1112170561,0.122,none,0,0,0,1
normal,3,404,51.64,464,838,44.35,109,1851,5.8,1842,51.64,215,10.38,0,-45.8359,0.1112170561,0.122,none,0,0,0,1
normal,4,363,49.74,758,825,45.16,99,1717,12.23,945,49.74,215,12.86,0,-37.5053,0.1112170561,0.122,none,0,0,0,1
